"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"sexual sporulation","0.0038893962748512","15","119","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"sexual sporulation resulting in formation of a cellular spore","0.0038893962748512","15","119","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"cell wall organization or biogenesis","0.0048303162209017","26","278","YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"nicotinamide nucleotide metabolic process","0.00580243136972154","12","86","YBR117C/YCL040W/YDL085W/YDR516C/YFR053C/YGR043C/YGR256W/YIL155C/YML120C/YMR145C/YPL134C/YPL061W"
"glycogen metabolic process","0.00598018738868726","8","42","YEL011W/YER054C/YFR017C/YIL045W/YIL024C/YMR105C/YOR178C/YPR184W"
"carbohydrate derivative biosynthetic process","0.00624359208230405","22","223","YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YHL032C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML081C-A/YMR101C/YOL077W-A/YPL271W/YPL078C/YPL057C/YPR020W"
"pyridine-containing compound metabolic process","0.00734568618578324","13","101","YBR117C/YCL040W/YDL085W/YDR516C/YFR053C/YGL037C/YGR043C/YGR256W/YIL155C/YML120C/YMR145C/YPL134C/YPL061W"
"polyol metabolic process","0.00799740417516449","8","44","YDL246C/YEL070W/YHL032C/YIL155C/YJR159W/YLR070C/YNR073C/YPL201C"
"NADH metabolic process","0.00799740417516449","5","17","YDL085W/YIL155C/YML120C/YMR145C/YPL134C"
"phosphate-containing compound metabolic process","0.0090043460407688","38","487","YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPL057C/YPR020W"
"disaccharide metabolic process","0.00957883222937774","6","26","YBR298C/YBR299W/YGR292W/YIL162W/YMR105C/YOL157C"
"mitochondrion organization","0.0118096792905665","20","205","YBR269C/YCL057C-A/YDR077W/YDR150W/YDR322C-A/YDR529C/YFL036W/YGL191W/YGR174C/YGR183C/YJL102W/YJR120W/YKL141W/YKR016W/YLR038C/YLR295C/YML091C/YML081C-A/YPL189C-A/YPR020W"
"glucan biosynthetic process","0.0119156709469073","8","47","YDL049C/YEL011W/YER054C/YFR017C/YIL045W/YMR105C/YOR178C/YPR184W"
"phosphorus metabolic process","0.0140706630140066","38","500","YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPL057C/YPR020W"
"mitochondrial respiratory chain complex assembly","0.0149330920060094","9","60","YBR269C/YDR529C/YGL191W/YGR174C/YGR183C/YLR038C/YLR295C/YML081C-A/YPL189C-A"
"oligosaccharide metabolic process","0.0166697554012985","6","29","YBR298C/YBR299W/YGR292W/YIL162W/YMR105C/YOL157C"
"polysaccharide biosynthetic process","0.0170235650384047","8","50","YDL049C/YEL011W/YER054C/YFR017C/YIL045W/YMR105C/YOR178C/YPR184W"
"sporulation resulting in formation of a cellular spore","0.0170235650384047","17","168","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YJL103C/YKL096W/YLR308W/YNL194C/YOR255W/YPL200W/YPL130W/YPR192W"
"anatomical structure formation involved in morphogenesis","0.0170235650384047","17","168","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YJL103C/YKL096W/YLR308W/YNL194C/YOR255W/YPL200W/YPL130W/YPR192W"
"disaccharide catabolic process","0.0204560990686446","4","13","YBR299W/YGR292W/YIL162W/YOL157C"
"polysaccharide metabolic process","0.0222877559902085","11","89","YDL049C/YEL011W/YER054C/YFR017C/YIL162W/YIL045W/YIL024C/YLR308W/YMR105C/YOR178C/YPR184W"
"response to oxidative stress","0.0263017468020985","13","118","YBL064C/YCR083W/YDR171W/YDR513W/YFL014W/YFR014C/YGL158W/YGR043C/YGR088W/YHR008C/YKL150W/YKL026C/YOL052C-A"
"maltose metabolic process","0.0263017468020985","4","14","YBR298C/YBR299W/YGR292W/YOL157C"
"fermentation","0.0263017468020985","4","14","YAL054C/YDL085W/YGL256W/YMR145C"
"oligosaccharide catabolic process","0.0263017468020985","4","14","YBR299W/YGR292W/YIL162W/YOL157C"
"sporulation","0.0276781466551839","17","177","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YJL103C/YKL096W/YLR308W/YNL194C/YOR255W/YPL200W/YPL130W/YPR192W"
"developmental process involved in reproduction","0.028228462431735","15","148","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"cellular oxidant detoxification","0.029594882009862","6","33","YBL064C/YDR513W/YGR088W/YHR008C/YIR038C/YKL026C"
"small molecule catabolic process","0.0371178109665454","14","138","YDL246C/YDL174C/YDR148C/YDR216W/YGR087C/YHL032C/YIL160C/YIL155C/YJR159W/YLR070C/YMR105C/YNR071C/YPL147W/YPL061W"
"organophosphate biosynthetic process","0.0398418072932848","23","279","YAL054C/YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YGL037C/YHL032C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPL057C/YPR020W"
"anatomical structure morphogenesis","0.0402749165474224","18","200","YAL018C/YDL223C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YJL103C/YKL096W/YLR308W/YNL194C/YOR255W/YPL200W/YPL130W/YPR192W"
"anatomical structure development","0.0402749165474224","18","200","YAL018C/YDL223C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YJL103C/YKL096W/YLR308W/YNL194C/YOR255W/YPL200W/YPL130W/YPR192W"
"NADPH regeneration","0.041317873554781","4","16","YBR117C/YGR043C/YGR256W/YPL061W"
"response to oxygen-containing compound","0.0437180579854943","10","85","YBR050C/YDR171W/YDR216W/YFL052W/YGR008C/YGR088W/YHR008C/YKL107W/YMR175W/YOL052C-A"
"glucan metabolic process","0.0479603249870953","9","73","YDL049C/YEL011W/YER054C/YFR017C/YIL045W/YIL024C/YMR105C/YOR178C/YPR184W"
"inner mitochondrial membrane organization","0.0491261183121938","6","37","YCL057C-A/YDR322C-A/YKL141W/YKR016W/YLR295C/YPR020W"
"cellular detoxification","0.0491261183121938","6","37","YBL064C/YDR513W/YGR088W/YHR008C/YIR038C/YKL026C"
"regulation of glycogen metabolic process","0.0498997889115103","4","17","YER054C/YFR017C/YIL045W/YOR178C"
"GO terms for DOWNREGULATED genes","","","",""
"alpha-amino acid metabolic process","1.11502213111567e-34","58","165","YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"alpha-amino acid biosynthetic process","1.11502213111567e-34","50","116","YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"proteinogenic amino acid metabolic process","4.35225617972271e-34","55","150","YAL044C/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"proteinogenic amino acid biosynthetic process","5.01005861115363e-34","48","109","YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"L-amino acid biosynthetic process","8.95198297713603e-34","47","105","YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"amino acid biosynthetic process","1.99287663347642e-33","50","124","YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"L-amino acid metabolic process","1.69153692981319e-32","53","148","YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"organic acid biosynthetic process","1.96274791382673e-29","56","190","YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR020W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"carboxylic acid biosynthetic process","1.96274791382673e-29","56","190","YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR020W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"amino acid metabolic process","4.28976900039727e-29","61","233","YAL044C/YAL012W/YBR145W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR096W/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"small molecule biosynthetic process","1.20444764117586e-27","72","349","YAL012W/YBR145W/YBR240C/YBR248C/YBR256C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YEL029C/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR144W/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL089W/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR303W/YMR020W/YMR062C/YMR095C/YMR096W/YNL277W/YNL104C/YNL097C-B/YOL143C/YOL140W/YOL064C/YOL058W/YOL055C/YOR047C/YOR130C/YOR143C/YOR184W/YOR202W/YOR303W/YPL258C/YPL214C/YPR121W/YPR145W/YPR167C"
"sulfur amino acid metabolic process","8.72012415301616e-25","28","46","YAL012W/YDR158W/YDR253C/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR155W/YGR204W/YHR112C/YHR208W/YIL046W/YIR017C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL311C/YNL277W/YOL064C/YPR167C"
"carboxylic acid metabolic process","1.52339757846378e-24","69","358","YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"oxoacid metabolic process","3.06156430651464e-23","69","376","YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"organic acid metabolic process","3.97148104599461e-23","69","378","YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"sulfur compound metabolic process","4.82926703976886e-23","42","134","YAL012W/YBR092C/YBR213W/YBR240C/YCR020C/YDR158W/YDR253C/YDR502C/YER052C/YER091C/YFR030W/YGL202W/YGL184C/YGL125W/YGR144W/YGR154C/YGR155W/YGR204W/YHR112C/YHR208W/YIL046W/YIR017C/YJL101C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL311C/YNL277W/YNL191W/YOL064C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W/YPR167C"
"sulfur compound biosynthetic process","1.75168403863901e-22","34","85","YAL012W/YBR240C/YDR158W/YDR502C/YER052C/YER091C/YFR030W/YGL202W/YGL184C/YGL125W/YGR144W/YGR155W/YGR204W/YHR208W/YIL046W/YIR017C/YJL101C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YOL064C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W/YPR167C"
"sulfur amino acid biosynthetic process","1.64170135231309e-19","22","36","YAL012W/YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR155W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YOL064C/YPR167C"
"methionine metabolic process","2.22724281357046e-18","21","35","YDR158W/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YOL064C/YPR167C"
"aspartate family amino acid biosynthetic process","5.87043242110013e-17","23","49","YDL182W/YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C"
"serine family amino acid metabolic process","1.36403644863504e-16","20","36","YAL044C/YAL012W/YDR019C/YDR158W/YER052C/YGL184C/YGR155W/YHR112C/YIL074C/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YLR058C/YLR303W/YMR189W/YNL277W/YOR184W/YPR167C"
"methionine biosynthetic process","1.63237929676922e-16","19","32","YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YOL064C/YPR167C"
"aspartate family amino acid metabolic process","2.3340666999382e-16","25","63","YDL182W/YDR158W/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C"
"DNA integration","9.98463096877465e-13","19","46","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"L-arginine biosynthetic process","7.46588347235719e-11","10","12","YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"serine family amino acid biosynthetic process","1.60375120145737e-10","13","24","YAL012W/YDR158W/YER052C/YGR155W/YIL074C/YIL046W/YIR017C/YJR139C/YKL001C/YLR058C/YLR303W/YOR184W/YPR167C"
"non-proteinogenic amino acid metabolic process","4.34242756044787e-10","15","36","YAL012W/YDL170W/YER069W/YGL184C/YGR155W/YHR018C/YHR112C/YJL088W/YJL071W/YJL060W/YJR130C/YLR303W/YMR062C/YOL140W/YOL058W"
"homoserine metabolic process","2.68153238223001e-09","10","15","YAL012W/YDR158W/YER052C/YGL184C/YGR155W/YHR112C/YJR130C/YJR139C/YLR303W/YNL277W"
"RNA-templated DNA biosynthetic process","2.78227275643103e-09","20","76","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"cysteine metabolic process","6.40568951144303e-09","10","16","YAL012W/YGL184C/YGR155W/YHR112C/YIL046W/YIR017C/YJR130C/YKL001C/YLR303W/YPR167C"
"arginine metabolic process","1.44496606246426e-08","10","17","YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"sulfate assimilation","2.01110499809888e-08","8","10","YBR213W/YFR030W/YJR010W/YJR137C/YKL001C/YKR069W/YOL064C/YPR167C"
"aromatic amino acid family biosynthetic process","6.01426580107084e-08","11","24","YBR248C/YCL030C/YDR354W/YER055C/YFR025C/YGL202W/YGL026C/YGR204W/YIL116W/YKL211C/YOR202W"
"vitamin metabolic process","8.72370991633821e-08","16","58","YBR092C/YBR240C/YBR256C/YCR020C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"water-soluble vitamin metabolic process","8.72370991633821e-08","16","58","YBR092C/YBR240C/YBR256C/YCR020C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"pyrimidine-containing compound metabolic process","1.06019856921882e-07","14","44","YBR092C/YBR240C/YCR020C/YER037W/YGL224C/YGR144W/YKL216W/YLR420W/YOL055C/YOR143C/YOR303W/YPL258C/YPL214C/YPR121W"
"glutamine family amino acid biosynthetic process","1.52899247889129e-07","11","26","YDL066W/YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"DNA biosynthetic process","1.66011805674984e-07","21","105","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDL059C/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"thiamine-containing compound metabolic process","3.07482414194525e-07","9","17","YBR092C/YBR240C/YCR020C/YGR144W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"viral process","3.07482414194525e-07","19","90","YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral gene expression","3.07482414194525e-07","19","90","YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral translation","3.07482414194525e-07","19","90","YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral translational frameshifting","3.07482414194525e-07","19","90","YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"retrotransposition","3.31368539171268e-07","20","100","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR170W-A/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"transposition","4.62312975354436e-07","20","102","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR170W-A/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"iron ion transport","6.03995696770955e-07","13","43","YBR085W/YEL065W/YER145C/YHL047C/YHL040C/YKL220C/YLR034C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"cysteine biosynthetic process","7.85373314509343e-07","7","10","YAL012W/YGR155W/YIL046W/YIR017C/YKL001C/YLR303W/YPR167C"
